Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
2020-10-12,9.75,9.85,9.7,9.85,16.81,2.53,0.59,3,9325700,4286200,3331200,1708300,9.91,10.16,11.04,-0.13,47.45
2020-10-22,9.1,9.25,9.05,9.25,15.79,2.37,0.59,3,36392300,13610900,13303800,9477600,9.62,9.94,10.92,-0.24,38.38
2020-11-03,9.05,9.15,8.95,9.05,15.45,2.32,0.59,3,32267800,13118700,14934600,4214500,9.33,9.7,10.79,-0.26,39.04
2020-11-12,10.2,10.3,9.9,10.1,17.24,2.59,0.59,3,53267400,12936400,33348100,6982900,9.53,9.71,10.72,0.09,63.74
2020-11-23,10.6,10.8,10.5,10.7,19.56,2.76,0.55,3,72327000,33525000,33440900,5361100,9.92,9.89,10.7,0.29,70.12
2020-12-02,10.3,10.3,10.1,10.1,18.47,2.6,0.55,3,32301400,10613600,16455700,5232100,10.11,10.01,10.68,0.19,50.31
2020-12-16,10.4,10.5,10.2,10.4,19.01,2.68,0.55,3,39204900,11171600,22497500,5535800,10.2,10.08,10.65,0.13,57.43
2020-12-25,9.65,9.8,9.55,9.6,17.55,2.47,0.55,3,46887600,20110100,20757600,6019900,10.02,10.01,10.6,-0.1,37.98
2021-01-07,9.5,10.0,9.45,9.9,18.1,2.55,0.55,3,134154500,79475500,45302500,9376500,9.8,9.89,10.52,-0.16,52.0
2021-01-18,9.6,9.65,9.5,9.6,17.55,2.47,0.55,3,33344100,10105600,18854500,4384000,9.78,9.86,10.47,-0.08,44.58
2021-01-27,9.7,9.9,9.7,9.7,17.73,2.5,0.55,3,33768000,14251100,13664700,5852200,9.76,9.83,10.42,-0.04,47.52
2021-02-05,9.5,9.65,9.4,9.5,17.37,2.45,0.55,3,52504200,24765600,23947000,3791600,9.65,9.75,10.36,-0.09,42.75
2021-02-17,9.4,9.5,9.4,9.45,19.36,2.44,0.49,3,21635300,9778800,8699700,3156800,9.56,9.68,10.3,-0.09,43.15
2021-03-01,9.35,9.4,9.25,9.3,19.05,2.11,0.49,2,59507200,20010600,31560800,7935800,9.48,9.6,10.23,-0.08,41.94
2021-03-10,9.35,9.55,9.35,9.55,19.56,2.17,0.49,2,52875800,25472500,20777500,6625800,9.45,9.56,10.18,-0.04,53.69
2021-03-19,9.4,9.4,9.35,9.4,19.26,2.13,0.49,2,28361500,8445800,9868200,10047500,9.44,9.52,10.13,-0.03,47.65
2021-03-30,9.8,9.9,9.7,9.7,19.87,2.2,0.49,2,77049100,28403600,36639100,12006400,9.48,9.52,10.09,0.03,62.87
2021-04-09,9.25,9.35,9.2,9.2,18.85,2.09,0.49,2,36391900,17192700,14044900,5154300,9.44,9.5,10.04,-0.03,37.12
2021-04-23,9.0,9.05,8.9,9.0,18.44,2.04,0.49,2,40724900,9543000,27077400,4104500,9.27,9.39,9.97,-0.12,33.17
2021-05-06,8.85,8.9,8.8,8.8,18.03,2.0,0.49,2,31497700,13962000,9600500,7935200,9.1,9.26,9.9,-0.15,31.59
2021-05-17,8.55,8.6,8.45,8.6,17.62,1.95,0.49,2,47492700,16132300,26935600,4424800,8.93,9.13,9.82,-0.18,30.3
2021-05-27,8.65,9.0,8.65,9.0,18.44,2.04,0.49,2,202936600,25050200,26996800,150889600,8.84,9.03,9.75,-0.1,55.06
2021-06-08,9.5,9.6,9.45,9.55,27.47,2.09,0.35,1,99686200,47869100,45001400,6815700,9.08,9.12,9.72,0.14,69.43
2021-06-17,9.8,9.85,9.75,9.8,28.19,2.14,0.35,1,27139600,9059600,14499900,3580100,9.37,9.27,9.72,0.23,73.28
2021-06-28,9.35,9.4,9.25,9.25,26.61,2.02,0.35,1,39273000,10991400,22958700,5322900,9.44,9.34,9.71,0.09,42.21
2021-07-07,9.25,9.3,9.2,9.2,26.46,2.01,0.35,1,32132500,9245500,16725200,6161800,9.38,9.33,9.68,-0.02,41.12
2021-07-16,9.0,9.2,8.95,9.15,26.32,2.0,0.35,1,93354600,27652600,12065700,53636300,9.2,9.24,9.63,-0.1,47.29
2021-07-29,8.7,8.75,8.6,8.6,24.74,1.88,0.35,2,30967500,7686600,16321500,6959400,9.08,9.17,9.59,-0.13,30.26
2021-08-09,8.4,8.55,8.4,8.5,24.45,1.86,0.35,2,41343600,21687000,14320400,5336200,8.82,9.0,9.51,-0.21,35.49
2021-08-19,8.9,8.9,8.7,8.8,21.0,1.91,0.42,3,47554200,21635400,21126500,4792300,8.74,8.91,9.45,-0.1,51.68
2021-08-30,9.4,9.55,9.35,9.45,22.55,2.06,0.42,3,43255000,25574100,12905000,4775900,8.97,8.99,9.44,0.12,68.75
2021-09-08,9.35,9.35,9.1,9.2,21.96,2.0,0.42,3,47597400,12925600,30158000,4513800,9.13,9.08,9.43,0.14,53.49
2021-09-17,9.5,9.5,9.25,9.5,22.67,2.07,0.42,3,54299900,16612100,24872200,12815600,9.25,9.16,9.43,0.13,64.37
2021-09-29,9.45,9.6,9.4,9.45,22.55,2.06,0.42,3,32719000,13557600,15273900,3887500,9.36,9.24,9.43,0.11,55.23
2021-10-08,9.55,9.65,9.55,9.65,23.03,2.1,0.42,3,33428200,12431200,15901400,5095600,9.43,9.31,9.44,0.09,61.09
